regime,seed,snapshot_t,user,x,y
stationary,101,0,0,0.14,0.78
stationary,101,0,1,0.3,0.3
stationary,101,0,2,0.47,0.62
stationary,101,0,3,0.66,0.33
stationary,101,0,4,0.82,0.77
stationary,101,1,0,0.14,0.78
stationary,101,1,1,0.3,0.3
stationary,101,1,2,0.47,0.62
stationary,101,1,3,0.66,0.33
stationary,101,1,4,0.82,0.77
stationary,101,2,0,0.14,0.78
stationary,101,2,1,0.3,0.3
stationary,101,2,2,0.47,0.62
stationary,101,2,3,0.66,0.33
stationary,101,2,4,0.82,0.77
stationary,101,3,0,0.14,0.78
stationary,101,3,1,0.3,0.3
stationary,101,3,2,0.47,0.62
stationary,101,3,3,0.66,0.33
stationary,101,3,4,0.82,0.77
stationary,101,4,0,0.14,0.78
stationary,101,4,1,0.3,0.3
stationary,101,4,2,0.47,0.62
stationary,101,4,3,0.66,0.33
stationary,101,4,4,0.82,0.77
stationary,101,5,0,0.14,0.78
stationary,101,5,1,0.3,0.3
stationary,101,5,2,0.47,0.62
stationary,101,5,3,0.66,0.33
stationary,101,5,4,0.82,0.77
stationary,101,6,0,0.14,0.78
stationary,101,6,1,0.3,0.3
stationary,101,6,2,0.47,0.62
stationary,101,6,3,0.66,0.33
stationary,101,6,4,0.82,0.77
stationary,101,7,0,0.14,0.78
stationary,101,7,1,0.3,0.3
stationary,101,7,2,0.47,0.62
stationary,101,7,3,0.66,0.33
stationary,101,7,4,0.82,0.77
stationary,101,8,0,0.14,0.78
stationary,101,8,1,0.3,0.3
stationary,101,8,2,0.47,0.62
stationary,101,8,3,0.66,0.33
stationary,101,8,4,0.82,0.77
stationary,101,9,0,0.14,0.78
stationary,101,9,1,0.3,0.3
stationary,101,9,2,0.47,0.62
stationary,101,9,3,0.66,0.33
stationary,101,9,4,0.82,0.77
stationary,102,0,0,0.14,0.78
stationary,102,0,1,0.3,0.3
stationary,102,0,2,0.47,0.62
stationary,102,0,3,0.66,0.33
stationary,102,0,4,0.82,0.77
stationary,102,1,0,0.14,0.78
stationary,102,1,1,0.3,0.3
stationary,102,1,2,0.47,0.62
stationary,102,1,3,0.66,0.33
stationary,102,1,4,0.82,0.77
stationary,102,2,0,0.14,0.78
stationary,102,2,1,0.3,0.3
stationary,102,2,2,0.47,0.62
stationary,102,2,3,0.66,0.33
stationary,102,2,4,0.82,0.77
stationary,102,3,0,0.14,0.78
stationary,102,3,1,0.3,0.3
stationary,102,3,2,0.47,0.62
stationary,102,3,3,0.66,0.33
stationary,102,3,4,0.82,0.77
stationary,102,4,0,0.14,0.78
stationary,102,4,1,0.3,0.3
stationary,102,4,2,0.47,0.62
stationary,102,4,3,0.66,0.33
stationary,102,4,4,0.82,0.77
stationary,102,5,0,0.14,0.78
stationary,102,5,1,0.3,0.3
stationary,102,5,2,0.47,0.62
stationary,102,5,3,0.66,0.33
stationary,102,5,4,0.82,0.77
stationary,102,6,0,0.14,0.78
stationary,102,6,1,0.3,0.3
stationary,102,6,2,0.47,0.62
stationary,102,6,3,0.66,0.33
stationary,102,6,4,0.82,0.77
stationary,102,7,0,0.14,0.78
stationary,102,7,1,0.3,0.3
stationary,102,7,2,0.47,0.62
stationary,102,7,3,0.66,0.33
stationary,102,7,4,0.82,0.77
stationary,102,8,0,0.14,0.78
stationary,102,8,1,0.3,0.3
stationary,102,8,2,0.47,0.62
stationary,102,8,3,0.66,0.33
stationary,102,8,4,0.82,0.77
stationary,102,9,0,0.14,0.78
stationary,102,9,1,0.3,0.3
stationary,102,9,2,0.47,0.62
stationary,102,9,3,0.66,0.33
stationary,102,9,4,0.82,0.77
gradual,201,0,0,0.14,0.78
gradual,201,0,1,0.3,0.3
gradual,201,0,2,0.47,0.62
gradual,201,0,3,0.66,0.33
gradual,201,0,4,0.82,0.77
gradual,201,1,0,0.19786871567996067,0.7617695246432727
gradual,201,1,1,0.23784902292977683,0.27596970916684893
gradual,201,1,2,0.5218071996493553,0.6284726765723212
gradual,201,1,3,0.651551035771873,0.33564029187474725
gradual,201,1,4,0.8293127167567427,0.8000507102729595
gradual,201,2,0,0.20117176628020006,0.8012401715762781
gradual,201,2,1,0.22192315194839746,0.27439214439996534
gradual,201,2,2,0.5052770078446065,0.6304205408265591
gradual,201,2,3,0.7134282434711845,0.2852079554728585
gradual,201,2,4,0.7829683126342795,0.7796126253163016
gradual,201,3,0,0.23511126931447834,0.8092233224248176
gradual,201,3,1,0.1960215875993378,0.27608864898518376
gradual,201,3,2,0.4625813992121382,0.5938594587660528
gradual,201,3,3,0.6902665675999512,0.3007372814652824
gradual,201,3,4,0.7735211113623475,0.7816575135915307
gradual,201,4,0,0.27422779121694507,0.7968656868124079
gradual,201,4,1,0.23762783359144088,0.24628075828709423
gradual,201,4,2,0.530262914823055,0.5499280709657455
gradual,201,4,3,0.625767594561253,0.30718697858354926
gradual,201,4,4,0.7672010145225592,0.8053256519003509
gradual,201,5,0,0.3001188070240392,0.751325327763409
gradual,201,5,1,0.2368786733231186,0.3236747929073676
gradual,201,5,2,0.5193044362092466,0.6024050946120661
gradual,201,5,3,0.6289827638197673,0.2968647382551464
gradual,201,5,4,0.7341830771659149,0.7857918694266881
gradual,201,6,0,0.25165307188083247,0.8004343689819517
gradual,201,6,1,0.2342390455253846,0.30247640782300267
gradual,201,6,2,0.5480015609695335,0.5724498460287235
gradual,201,6,3,0.6471766403273451,0.32210722447232626
gradual,201,6,4,0.7672001563370899,0.7997562793943408
gradual,201,7,0,0.29603829626960965,0.7981126136830412
gradual,201,7,1,0.2568896245614642,0.34732074107635164
gradual,201,7,2,0.5612161622444986,0.6065818741316865
gradual,201,7,3,0.573443516956777,0.34427526980000883
gradual,201,7,4,0.7889390037415146,0.7976473863362492
gradual,201,8,0,0.33030365161824504,0.865529058713533
gradual,201,8,1,0.280042235771166,0.3767891039538383
gradual,201,8,2,0.5534030123623723,0.5926610849666486
gradual,201,8,3,0.5770255489768306,0.3122177894778736
gradual,201,8,4,0.788964731709588,0.8258247238933599
gradual,201,9,0,0.32722028792271923,0.8584493525053536
gradual,201,9,1,0.25763597067149857,0.4126185446608333
gradual,201,9,2,0.5576033052254223,0.5987958372218759
gradual,201,9,3,0.5929565660416243,0.34768609528668926
gradual,201,9,4,0.7629045206628943,0.8160788483993257
gradual,202,0,0,0.14,0.78
gradual,202,0,1,0.3,0.3
gradual,202,0,2,0.47,0.62
gradual,202,0,3,0.66,0.33
gradual,202,0,4,0.82,0.77
gradual,202,1,0,0.19435161061445935,0.7581283932207012
gradual,202,1,1,0.26743120541349474,0.28794266837964305
gradual,202,1,2,0.435422227392414,0.6652467379386295
gradual,202,1,3,0.6863970112542999,0.3491289933251723
gradual,202,1,4,0.862296135907523,0.7519598856949758
gradual,202,2,0,0.15492772475153146,0.7685405249980534
gradual,202,2,1,0.2767097645112218,0.26227700029863515
gradual,202,2,2,0.4514976625583401,0.7094089890256584
gradual,202,2,3,0.6703976098494532,0.3549694193282673
gradual,202,2,4,0.872623436209592,0.7665344457967436
gradual,202,3,0,0.18561486352169326,0.7861949639362362
gradual,202,3,1,0.318699555213758,0.2379691795793867
gradual,202,3,2,0.43733417642002465,0.7340004846448837
gradual,202,3,3,0.6571246957235641,0.3381735754916524
gradual,202,3,4,0.8712587106635516,0.7771019420184236
gradual,202,4,0,0.17068455102183186,0.8039896405443304
gradual,202,4,1,0.36032678461974627,0.18443433066763315
gradual,202,4,2,0.36873173429770584,0.7565890626332443
gradual,202,4,3,0.6332348709229905,0.3818637368701942
gradual,202,4,4,0.9573412992735784,0.7728492724231822
gradual,202,5,0,0.15917632598976988,0.8037809704012512
gradual,202,5,1,0.36877368529391236,0.18307299293869786
gradual,202,5,2,0.3416179205991585,0.7690171519245161
gradual,202,5,3,0.5726611462346175,0.3936639147932483
gradual,202,5,4,0.9603560816692367,0.8120965170968504
gradual,202,6,0,0.16407681096023724,0.8183419563200923
gradual,202,6,1,0.34038321510392056,0.18830728942521527
gradual,202,6,2,0.3649277113771832,0.7996477298823018
gradual,202,6,3,0.5762227599121519,0.4412257444378532
gradual,202,6,4,0.98,0.7925358838740695
gradual,202,7,0,0.09004618651114693,0.7854151282583257
gradual,202,7,1,0.3424336270251937,0.1930869085017144
gradual,202,7,2,0.3561223842666229,0.7870451358699132
gradual,202,7,3,0.5956992783723174,0.4235793321909798
gradual,202,7,4,0.9161792310182738,0.7832255219030952
gradual,202,8,0,0.12058779676882582,0.7598894628946342
gradual,202,8,1,0.36162353999211017,0.21034435282911026
gradual,202,8,2,0.35563378631562864,0.7993094911641521
gradual,202,8,3,0.568173511073174,0.4253880752184038
gradual,202,8,4,0.9611866358545336,0.7809425004929953
gradual,202,9,0,0.08751771725175342,0.8038025442887236
gradual,202,9,1,0.320780864840918,0.2599080020385188
gradual,202,9,2,0.35848934647691666,0.8178514921797082
gradual,202,9,3,0.5787893479671317,0.42599909619594595
gradual,202,9,4,0.98,0.7786298135450704
gradual,203,0,0,0.14,0.78
gradual,203,0,1,0.3,0.3
gradual,203,0,2,0.47,0.62
gradual,203,0,3,0.66,0.33
gradual,203,0,4,0.82,0.77
gradual,203,1,0,0.12414858982511982,0.769506134320216
gradual,203,1,1,0.32828042454058554,0.3490390273898165
gradual,203,1,2,0.4417931323253138,0.6875867716002435
gradual,203,1,3,0.6875411640576081,0.3049103005553225
gradual,203,1,4,0.7941300134788738,0.767008106739523
gradual,203,2,0,0.10760555855150289,0.72414708407569
gradual,203,2,1,0.266932639330918,0.37057748289853987
gradual,203,2,2,0.4109055430728834,0.7343742239652521
gradual,203,2,3,0.7512615995328573,0.2902504042629929
gradual,203,2,4,0.8366778533782492,0.7497098119661193
gradual,203,3,0,0.16730963395285572,0.746915348248184
gradual,203,3,1,0.2136753813729605,0.3528345002829325
