scenario,seed,snapshot_t,method,evaluation,objective_value,best_so_far_cost
gradual,201,4,Cold,1,0.6506869096915803,0.6506869096915803
gradual,201,4,Cold,2,0.5566667064744125,0.5566667064744125
gradual,201,4,Cold,3,0.547873818712998,0.547873818712998
gradual,201,4,Cold,4,0.5185859212067443,0.5185859212067443
gradual,201,4,Cold,5,0.5356315630968246,0.5185859212067443
gradual,201,4,Cold,6,0.5685596402548491,0.5185859212067443
gradual,201,4,Param,1,0.5792894753627297,0.5792894753627297
gradual,201,4,Param,2,0.4824905307350187,0.4824905307350187
gradual,201,4,Param,3,0.5548830572435499,0.4824905307350187
gradual,201,4,Param,4,0.5251523174428986,0.4824905307350187
gradual,201,4,Param,5,0.5687381115572864,0.4824905307350187
gradual,201,4,Param,6,0.5556243745292964,0.4824905307350187
gradual,201,4,State,1,0.17419757354955742,0.17419757354955742
gradual,201,4,State,2,0.5099860306275604,0.17419757354955742
gradual,201,4,State,3,0.18256520678617805,0.17419757354955742
gradual,201,4,State,4,0.4627666057040025,0.17419757354955742
gradual,201,4,State,5,0.2361939028747816,0.17419757354955742
gradual,201,4,State,6,0.19100330208595873,0.17419757354955742
gradual,201,4,Combined,1,0.037025170115514705,0.037025170115514705
gradual,201,4,Combined,2,0.3886513936267953,0.037025170115514705
gradual,201,4,Combined,3,0.07012307080703352,0.037025170115514705
gradual,201,4,Combined,4,0.3930698783316009,0.037025170115514705
gradual,201,4,Combined,5,0.32389062183269557,0.037025170115514705
gradual,201,4,Combined,6,0.15033413075224775,0.037025170115514705
sudden,304,5,Cold,1,0.4929736921168779,0.4929736921168779
sudden,304,5,Cold,2,0.5460916480108029,0.4929736921168779
sudden,304,5,Cold,3,0.4993065198446516,0.4929736921168779
sudden,304,5,Cold,4,0.5550650736124763,0.4929736921168779
sudden,304,5,Cold,5,0.5139843939846612,0.4929736921168779
sudden,304,5,Cold,6,0.5086822791779156,0.4929736921168779
sudden,304,5,Param,1,0.53004188640898,0.53004188640898
sudden,304,5,Param,2,0.5730283664701067,0.53004188640898
sudden,304,5,Param,3,0.5396224161835942,0.53004188640898
sudden,304,5,Param,4,0.5896784813911453,0.53004188640898
sudden,304,5,Param,5,0.5018856414426303,0.5018856414426303
sudden,304,5,Param,6,0.5437806161310075,0.5018856414426303
sudden,304,5,State,1,0.14672242944085379,0.14672242944085379
sudden,304,5,State,2,0.3482175715462395,0.14672242944085379
sudden,304,5,State,3,0.13650813456840546,0.13650813456840546
sudden,304,5,State,4,0.3299315174484733,0.13650813456840546
sudden,304,5,State,5,0.4322275475435651,0.13650813456840546
sudden,304,5,State,6,0.16483604384538397,0.13650813456840546
sudden,304,5,Combined,1,0.3335699137417451,0.3335699137417451
sudden,304,5,Combined,2,0.5400888213615774,0.3335699137417451
sudden,304,5,Combined,3,0.3330255792834806,0.3330255792834806
sudden,304,5,Combined,4,0.4923529088356315,0.3330255792834806
sudden,304,5,Combined,5,0.4719727338061681,0.3330255792834806
sudden,304,5,Combined,6,0.4210671026969521,0.3330255792834806
continuous_sudden,401,6,Cold,1,0.5284230841777523,0.5284230841777523
continuous_sudden,401,6,Cold,2,0.6795722051354485,0.5284230841777523
continuous_sudden,401,6,Cold,3,0.5403272803124145,0.5284230841777523
continuous_sudden,401,6,Cold,4,0.6326042174636958,0.5284230841777523
continuous_sudden,401,6,Cold,5,1.204319027019036,0.5284230841777523
continuous_sudden,401,6,Cold,6,0.48667441235792097,0.48667441235792097
continuous_sudden,401,6,Param,1,0.5550604782876023,0.5550604782876023
continuous_sudden,401,6,Param,2,0.5458185122806852,0.5458185122806852
continuous_sudden,401,6,Param,3,0.5934531315543327,0.5458185122806852
continuous_sudden,401,6,Param,4,0.69891185226496,0.5458185122806852
continuous_sudden,401,6,Param,5,0.5392771268971372,0.5392771268971372
continuous_sudden,401,6,Param,6,0.5900598687216722,0.5392771268971372
continuous_sudden,401,6,State,1,0.4769240493211357,0.4769240493211357
continuous_sudden,401,6,State,2,0.6083146398681621,0.4769240493211357
continuous_sudden,401,6,State,3,0.4900839586596184,0.4769240493211357
continuous_sudden,401,6,State,4,0.5471782192213134,0.4769240493211357
continuous_sudden,401,6,State,5,0.15683251518972913,0.15683251518972913
continuous_sudden,401,6,State,6,0.5496282631596392,0.15683251518972913
continuous_sudden,401,6,Combined,1,0.12658067646261753,0.12658067646261753
continuous_sudden,401,6,Combined,2,0.3425030964767632,0.12658067646261753
continuous_sudden,401,6,Combined,3,0.12411197026533848,0.12411197026533848
continuous_sudden,401,6,Combined,4,0.33167674950257336,0.12411197026533848
continuous_sudden,401,6,Combined,5,0.46186021006531025,0.12411197026533848
continuous_sudden,401,6,Combined,6,0.18411337851824353,0.12411197026533848
